ticker,figi_name,special_marker,bucket,sibling_classes,swap_proposal
GHC,GRAHAM HOLDINGS CO-CLASS B,-C,SINGLE_LINE,0,
LANV,LANVIN GROUP HOLDINGS LTD,,SINGLE_LINE,0,
NVR,NVR INC,,SINGLE_LINE,0,
FER.AS,FERROVIAL NV,,SINGLE_LINE,0,
COLR.BR,COLRUYT GROUP N.V,,SINGLE_LINE,0,
DIE.BR,D'IETEREN GROUP,,SINGLE_LINE,0,
MELE.BR,MELEXIS NV,,SINGLE_LINE,0,
MAERSK-B.CO,,,NEEDS_MANUAL,0,
1COV.DE,COVESTRO AG,,SINGLE_LINE,0,
SIX2.DE,SIXT SE,,SINGLE_LINE,0,
CTG.L,CHRISTIE GROUP PLC,,SINGLE_LINE,0,
GAW.L,GAMES WORKSHOP GROUP PLC,,SINGLE_LINE,0,
ANA.MC,ACCIONA SA,,SINGLE_LINE,0,
DIA.MC,DISTRIBUIDORA INTERNACIONAL,,SINGLE_LINE,0,
MF.PA,WENDEL,,SINGLE_LINE,0,
RCO.PA,REMY COINTREAU,,SINGLE_LINE,0,
VCT.PA,VICAT,,SINGLE_LINE,0,
BARN.SW,BARRY CALLEBAUT AG-REG,-REG,SINGLE_LINE,0,
EMSN.SW,EMS-CHEMIE HOLDING AG-REG,-REG,SINGLE_LINE,0,
GIVN.SW,GIVAUDAN-REG,-REG,SINGLE_LINE,0,
LISN.SW,CHOCOLADEFABRIKEN LINDT-REG,-REG,MULTI_NO_LIQUID,5,
RO.SW,ROCHE HOLDING AG-BR,-BR,A_SELECTION,2,"RO.SW -> ROP.SW (avgVol 1018486, Roche Holding AG)"
SCMN.SW,SWISSCOM AG-REG,-REG,SINGLE_LINE,0,
SLHN.SW,SWISS LIFE HOLDING AG-REG,-REG,SINGLE_LINE,0,
VACN.SW,VAT GROUP AG,,SINGLE_LINE,0,
VIG.VI,VIENNA INSURANCE GROUP AG,,SINGLE_LINE,0,
LPP.WA,LPP SA,,SINGLE_LINE,0,
